date,market_cap,volume,trading_value,shares,ticker
2019.6.30,1.5295E+12,1480643,70480164000,32200000,006260
2019.7.31,1.42324E+12,1828256,87456626400,32200000,006260
2019.8.31,1.45544E+12,1483465,63321643800,32200000,006260
2019.9.30,1.52789E+12,1303853,62025684950,32200000,006260
2019.10.31,1.5617E+12,1157473,55622015550,32200000,006260
2019.11.30,1.42163E+12,2039819,95750954200,32200000,006260
2019.12.31,1.53916E+12,1522959,70720519300,32200000,006260
2020.1.31,1.28317E+12,1871187,81844942900,32200000,006260
2020.2.29,1.16081E+12,1990455,79042686100,32200000,006260
2020.3.31,9.3058E+11,4256910,1.27863E+11,32200000,006260
2020.4.30,1.21233E+12,2837341,96164280900,32200000,006260
2020.5.31,1.20428E+12,2384928,86818940200,32200000,006260
2020.6.30,1.12056E+12,2718750,1.02949E+11,32200000,006260
2020.7.31,1.35079E+12,3799845,1.53321E+11,32200000,006260
2020.8.31,1.45705E+12,4158849,1.75064E+11,32200000,006260
2020.9.30,1.6905E+12,12120096,7.04299E+11,32200000,006260
2020.10.31,1.66796E+12,4361918,2.48881E+11,32200000,006260
2020.11.30,2.03504E+12,6265697,3.7263E+11,32200000,006260
2020.12.31,2.29908E+12,7503455,5.2717E+11,32200000,006260
2021.1.31,2.07368E+12,7850845,5.73234E+11,32200000,006260
2021.2.28,2.25078E+12,5327616,3.79535E+11,32200000,006260
2021.3.31,2.2057E+12,3752283,2.47272E+11,32200000,006260
2021.4.30,2.36026E+12,4667168,3.20895E+11,32200000,006260
2021.5.31,2.24112E+12,4634753,3.33342E+11,32200000,006260
2021.6.30,2.27976E+12,3741967,2.6559E+11,32200000,006260
2021.7.31,2.34094E+12,3486855,2.47609E+11,32200000,006260
2021.8.31,2.14452E+12,2240062,1.52534E+11,32200000,006260
2021.9.30,2.06724E+12,1892341,1.264E+11,32200000,006260
2021.10.31,2.01572E+12,1679784,1.07771E+11,32200000,006260
